18.268145 28.812447 K0VII
18.285024 27.363908 M5II
20.270149 16.187862 K6II
17.145462 28.431469 A9V
17.83632 27.859703 B5VI
28.650809 15.406129 M3I
18.990735 27.558848 K2V
16.751184 28.097277 M3I
17.358623 28.720754 A1III
26.703493 16.829844 A7III
16.359935 26.606267 F0III
18.481607 28.077031 O6VI
17.158242 28.18558 K9VII
17.381754 28.858542 F3II
16.66877 26.548801 M5IV
17.96472 29.056868 B3II
17.145251 28.14088 G2V
29.233544 14.774974 O9I
17.958213 28.231861 G7VI
18.294951 28.277201 O4V
19.035873 29.320702 M4III
28.335635 15.622794 G6VI
27.596027 15.671969 A8II
28.9689 13.647031 A9III
17.225843 28.520591 G1III
19.009212 27.521872 G8V
17.994332 26.513108 F3VI
19.141403 28.098269 K8VI
17.793825 26.927543 K9I
25.931153 15.836597 A7III
17.946182 27.88568 B6V
19.018947 27.549706 A7II
21.341464 17.340307 G8I
20.297138 19.41408 M7VI
19.953819 18.88827 K8IV
17.727533 27.830543 M3VI
17.532331 29.162329 A3VII
28.63153 15.96712 M4IV
20.507256 18.079352 G4V
18.746814 29.59314 F4II
27.424384 16.149221 G6VII
27.54672 15.249171 G4I
19.942977 17.57448 B0VII
19.778742 28.372399 G4II
17.885298 27.645842 O3II
17.762841 26.649287 G2VII
19.761008 16.972654 A7III
17.953235 29.669132 B0III
28.54708 14.600992 A5II
16.651393 28.352171 A0V
17.318481 27.832797 F9IV
18.472347 25.947929 A4I
16.890437 28.187382 F4II
16.873451 26.428621 B3II
19.042991 28.128221 M3IV
17.895613 28.89076 O3I
18.054511 27.656314 B8II
17.651985 28.374502 O4I
17.526236 29.376913 O2VI
17.864735 28.277984 A1II
18.446466 27.686043 M1V
18.793932 29.273743 G4I
20.372204 16.407701 O9V
18.002707 28.064612 F4III
17.920163 27.574657 A5III
17.331598 27.703223 K1IV
17.845898 28.964924 M4IV
18.303316 29.99881 F2V
17.793001 28.17998 A2V
17.888674 28.44862 M2VI
18.382883 27.378845 B0II
18.579417 25.8444 A5VI
17.518605 27.450423 K1I
17.660764 27.311583 O7I
18.318275 27.995878 F6IV
17.103079 26.489244 F6III
18.992406 27.356012 G1VI
16.486482 26.209445 G7IV
17.712876 28.900261 F1VII
18.551507 29.357601 M3VII
19.654139 28.877693 K0II
17.471557 27.76873 G2IV
17.947136 27.200527 M6VII
17.628633 27.294575 G6IV
16.708891 25.983542 O4VII
16.594209 27.982768 B4I
18.374836 27.305228 M2VII
17.543368 28.301323 M2VI
17.591702 28.032347 K2V
17.875268 27.038477 F8V
19.390735 18.104482 B7VII
17.873138 27.985142 A6IV
19.523256 28.13847 B0V
18.857386 28.420524 M1I
17.34005 27.804844 K4I
17.61451 29.247249 B3VI
18.51602 30.121065 G2IV
18.950212 28.666056 B1IV
20.994876 17.812604 A4I
28.846092 15.698168 F9IV
20.167756 18.718563 B6III
18.286389 29.993489 G6I
18.424601 28.507746 K9III
17.972123 28.704955 G7VI
18.202779 27.825025 A5V
16.874025 27.503294 G8II
19.872177 16.213807 F8VII
28.565157 15.677123 K6VII
17.459911 29.286427 M7VI
17.546885 28.818512 O2VI
17.952739 26.83252 M6III
18.07082 29.008369 K4VII
17.965673 28.934363 M6I
18.061373 28.099024 O1IV
17.448189 28.409521 O0V
18.018994 28.185162 O8VII
17.602099 27.835809 B3III
17.012496 28.408956 G6VII
16.664656 27.569878 G3II
20.958594 16.267642 K7VI
28.25941 14.914845 F9II
17.987171 27.155896 A7I
18.010716 29.85822 G1V
17.842315 27.805654 F0II
17.686852 27.618915 B1I
27.437236 14.972504 G3II
17.951583 27.032049 K1VII
20.153172 17.124806 O0III
19.836642 14.724185 G9V
18.374527 28.632564 M5V
